assertion_id,passage,source_id,evidence_level,certainty,note
"asrt-0001","STEP:LUK 1:5","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0002","STEP:LUK 1:5","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0002","STEP:MAT 8:4","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0002","EXO 4:14","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0002","EXO 2:10","source:0002","modern_reference","0.72","STEP TIPNR sibling field; requires editorial confirmation against the cited passage."
"asrt-0003","STEP:MAT 23:35","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0003","STEP:LUK 3:38","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0003","GEN 2:19","source:0002","modern_reference","0.66","Deterministic OT relation resolver evidence"
"asrt-0003","GEN 4:2","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0004","STEP:MAT 23:35","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0004","STEP:2CO 11:3","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0004","GEN 4:2","source:0002","modern_reference","0.66","Deterministic OT relation resolver evidence"
"asrt-0005","STEP:MAT 23:35","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0005","STEP:HEB 11:4","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0005","GEN 4:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0005","GEN 4:1","source:0002","modern_reference","0.72","STEP TIPNR sibling field; requires editorial confirmation against the cited passage."
"asrt-0006","STEP:MAT 23:35","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0006","STEP:LUK 3:38","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0006","GEN 4:25","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0006","GEN 4:2","source:0002","modern_reference","0.72","STEP TIPNR sibling field; requires editorial confirmation against the cited passage."
"asrt-0007","STEP:MAT 1:7","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0007","1KI 14:31","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0007","1KI 11:43","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0008","STEP:MAT 1:7","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0008","1KI 15:8","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0008","1KI 14:31","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0009","STEP:MAT 1:13","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0010","STEP:MAT 1:13","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0011","STEP:MAT 1:1","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0011","STEP:LUK 3:34","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0011","GEN 11:26","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0011","GEN 11:27","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0011","GEN 11:31","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0011","JOS 24:2","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0011","GEN 11:24","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0012","STEP:MAT 1:1","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0012","STEP:MAT 1:2","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0012","1CH 16:16","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","1CH 1:28","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","1CH 1:34","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","1CH 29:18","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","1KI 18:36","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","2CH 30:6","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","2KI 13:23","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 1:8","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 29:13","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 30:20","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 34:4","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 6:10","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 9:27","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","DEU 9:5","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 2:24","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
